vdnumber,registered,valid,spoilt,total
97220145,2148,1553,9,1562
33250823,607,851,5,856
10591309,991,934,14,948
43580482,2763,2030,52,2082
11100351,190,123,2,125
10871344,620,481,4,485
43580268,672,490,4,494
76211287,888,627,5,632
43581326,531,388,6,394
10570148,530,422,1,423
86991395,939,469,22,491
22790044,1142,911,9,920
43581865,418,312,12,324
97280242,776,668,2,670
54590294,440,324,9,333
43622535,589,343,6,349
43993918,432,316,7,323
10251087,2058,1992,7,1999
22740016,2756,2167,5,2172
11600356,538,262,4,266
33020435,2826,1846,13,1859
21890011,1950,1385,31,1416
32850682,2158,2133,0,2133
54720086,2452,1950,28,1978
10410028,173,92,2,94
11600165,492,324,10,334
10251829,889,1163,19,1182
43504512,245,244,24,268
76210062,653,308,8,316
11071808,205,161,1,162
32951011,2463,2030,8,2038
86552747,121,49,3,52
76330278,499,269,4,273
65970018,1985,1339,13,1352
43690620,974,665,7,672
43771945,114,79,1,80
54580305,479,362,6,368
11631462,391,237,0,237
43371570,2693,1612,21,1633
65220038,2450,1653,15,1668
32870718,2224,1642,15,1657
11821283,428,325,6,331
43690529,955,745,8,753
86553760,504,273,8,281
43991613,726,526,10,536
32862506,1699,1448,8,1456
22650353,300,182,7,189
11610212,519,302,0,302
54620737,189,113,3,116
32863170,1690,1812,12,1824
97280152,2507,1458,25,1483
11070032,217,132,0,132
43371873,1049,987,10,997
10591039,1658,998,16,1014
43990285,648,549,18,567
11590400,298,188,5,193
10250165,2902,2567,12,2579
43691328,509,329,10,339
54610185,1725,1143,26,1169
43583508,733,484,6,490
43503746,323,280,0,280
43411463,1190,819,16,835
76150289,1260,794,14,808
98150014,1573,1096,11,1107
76510458,364,219,2,221
86730172,1863,1390,28,1418
97091747,3732,2633,36,2669
22080204,235,187,3,190
11800820,312,231,7,238
97280040,2400,1407,27,1434
43420126,916,915,3,918
86990114,939,600,3,603
10810572,291,148,10,158
43810017,1569,1257,22,1279
86742074,64,38,1,39
43371817,2318,2903,48,2951
43900084,3266,1893,45,1938
43583126,734,597,5,602
43415962,248,175,2,177
54900086,500,359,21,380
76070077,593,740,2,742
86690087,1919,1420,23,1443
86820352,212,113,3,116
43691913,237,184,2,186
22420819,865,610,20,630
33260138,2164,1660,9,1669
11640338,523,353,4,357
76170180,1126,718,14,732
43360736,2249,1957,21,1978
22210063,2244,1657,22,1679
11820765,89,64,0,64
22560083,146,55,0,55
22430247,153,139,4,143
33150125,1220,1065,16,1081
33060013,2116,1949,7,1956
43690103,1124,837,29,866
76350146,457,271,4,275
11761095,400,235,5,240
11820967,500,298,7,305
22430090,239,184,3,187
86700045,3276,2300,14,2314
32840164,4102,3168,29,3197
76470183,826,934,6,940
32952045,2785,1630,0,1630
76050121,479,640,9,649
86660938,1739,1278,5,1283
32850592,3021,2446,11,2457
43772429,972,758,15,773
54880139,2375,1808,20,1828
11650092,648,441,16,457
11800325,664,451,9,460
76340066,925,567,2,569
76290970,552,225,1,226
76530089,307,87,0,87
76480881,579,414,7,421
33030245,2118,1164,66,1230
86580210,1491,957,13,970
65900011,2990,2133,25,2158
43991714,1358,1371,13,1384
65090077,1479,1057,23,1080
11751881,94,61,3,64
11780142,587,357,3,360
10380035,295,79,6,85
11800381,745,523,0,523
11590387,453,223,6,229
11770736,829,542,7,549
43994436,527,401,14,415
10250479,2181,1932,13,1945
11780579,358,231,4,235
86690098,3319,2334,77,2411
43413476,633,488,6,494
10350087,68,37,1,38
86660196,1073,623,22,645
11071178,218,160,2,162
32960583,1887,1388,10,1398
86870537,664,539,18,557
54320149,734,643,11,654
98080027,408,254,4,258
11761040,370,250,4,254
54280087,714,630,9,639
33000466,1094,967,19,986
32860920,1621,1347,22,1369
54620254,445,240,6,246
10820359,571,340,1,341
43362211,2964,2313,38,2351
76250820,694,506,11,517
97142193,881,746,13,759
86660466,1000,536,8,544
43994739,303,260,20,280
76350089,1255,700,17,717
43416491,530,377,2,379
65440043,1755,1258,19,1277
11800156,459,295,11,306
32950098,2618,1925,4,1929
54910481,1296,977,19,996
97130448,1409,1101,5,1106
97400033,2423,1351,11,1362
10540055,713,685,4,689
43414455,2380,1656,38,1694
43771956,1240,910,13,923
97090645,1462,1161,5,1166
86552501,1458,1596,15,1611
11080842,426,346,7,353
11591120,296,190,1,191
22600077,1281,1018,9,1027
43773677,1313,1033,19,1052
43390234,1618,1285,33,1318
10840924,67,38,1,39
11781075,401,219,12,231
33090409,1562,1707,35,1742
54650077,1969,1616,6,1622
11790222,1244,830,20,850
33250272,2657,1910,18,1928
97100366,2693,2237,17,2254
43361388,2448,1741,121,1862
43415647,1058,792,9,801
11060109,1118,753,9,762
43411553,518,340,6,346
76540046,365,181,4,185
76260641,311,316,5,321
11071651,137,96,5,101
44010032,1461,1002,15,1017
43620308,1753,1207,32,1239
43370748,2985,2277,16,2293
22110107,45,41,0,41
54370065,93,42,0,42
11620976,165,113,4,117
86553007,412,229,6,235
32940783,605,910,18,928
32980439,2907,2683,11,2694
10590207,1507,1260,17,1277
86743457,56,45,2,47
32940334,2296,1753,17,1770
86663324,450,382,4,386
54650101,2922,2083,15,2098
11070896,254,190,3,193
97140427,2387,1594,14,1608
11580869,260,183,2,185
11390723,400,293,11,304
32861077,3288,2203,43,2246
21861233,2060,1630,7,1637
43417335,335,273,5,278
43370557,2276,1854,21,1875
86590200,515,968,12,980
76080517,397,505,13,518
97110277,2909,2259,10,2269
10820438,184,134,0,134
10251526,1707,1214,17,1231
98410057,2267,1245,23,1268
33060732,2923,1599,22,1621
54890578,934,669,6,675
43992131,1138,822,3,825
43417256,1351,1020,12,1032
43670123,1989,1539,25,1564
10940138,425,275,6,281
43692891,592,415,7,422
65440649,905,812,4,816
97550185,376,227,6,233
54620838,207,176,2,178
65890019,1929,1412,14,1426
11450034,184,107,1,108
54660214,49,71,1,72
43584138,292,241,4,245
97200222,1475,728,5,733
86551218,501,380,6,386
11640260,387,221,1,222
10840182,381,259,2,261
76220298,1267,655,10,665
76340842,444,297,2,299
10300385,1940,1502,31,1533
86743659,31,32,2,34
11390161,695,467,13,480
76230222,905,479,8,487
54320150,1449,1295,62,1357
11760779,118,117,2,119
43693005,364,297,4,301
43370063,2616,1854,18,1872
22430067,76,61,0,61
10890031,263,134,5,139
32953103,485,640,5,645
10251458,1879,1447,23,1470
97140696,2711,1967,21,1988
43770696,1361,1013,12,1025
97091433,2304,1518,11,1529
11800538,511,297,0,297
65460023,3425,2176,47,2223
76480780,372,278,2,280
11790547,552,342,52,394
11750060,191,134,6,140
97141260,2051,1627,16,1643
76370924,584,342,0,342
43991691,1935,1469,27,1496
10250930,2630,2055,28,2083
22750365,580,553,17,570
43691924,1001,854,15,869
76450114,1069,519,10,529
22650072,247,231,6,237
86991485,2448,1498,0,1498
54790173,1689,1207,22,1229
33310257,289,292,2,294
43502699,278,188,2,190
76280531,1848,1221,10,1231
76510548,71,45,1,46
22320098,1060,573,88,661
76150504,917,560,8,568
43581562,461,336,11,347
43625077,484,353,14,367
43774443,450,336,2,338
76211681,216,189,0,189
22210085,1560,1040,31,1071
43620689,528,370,2,372
97090049,3186,2529,14,2543
33070160,778,760,2,762
86850074,1575,1214,24,1238
32863091,1034,819,10,829
11630179,365,230,4,234
76100284,774,566,3,569
43480087,2111,1689,15,1704
22400637,236,323,9,332
10850655,184,155,0,155
43412677,1284,997,12,1009
11570329,980,600,10,610
76101106,535,519,5,524
11620291,843,554,8,562
32841132,2987,2104,23,2127
10850419,517,375,7,382
76221176,445,457,4,461
43621321,1568,1074,30,1104
43992861,651,432,0,432
43501812,796,529,13,542
54890590,1115,834,4,838
