OBJECTID,FKLPROVID,SPROVINCE,FKLMUNICID,SMUNICIPAL,FKLWARDID,PKLVDNUMBE
16926,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303029.00000,76240515.00000
16927,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303026.00000,76240526.00000
16928,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303029.00000,76240537.00000
16929,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303032.00000,76240548.00000
16930,7.00000,Limpopo,5021.00000,LIM472 - Elias Motsoaledi [Groblersdal],94702018.00000,76250011.00000
16931,7.00000,Limpopo,5021.00000,LIM472 - Elias Motsoaledi [Groblersdal],94702023.00000,76250022.00000
16932,7.00000,Limpopo,5021.00000,LIM472 - Elias Motsoaledi [Groblersdal],94702024.00000,76250033.00000
16933,7.00000,Limpopo,5021.00000,LIM472 - Elias Motsoaledi [Groblersdal],94702018.00000,76250044.00000
16934,7.00000,Limpopo,5021.00000,LIM472 - Elias Motsoaledi [Groblersdal],94702024.00000,76250055.00000
16935,7.00000,Limpopo,5021.00000,LIM472 - Elias Motsoaledi [Groblersdal],94702024.00000,76250066.00000
16936,7.00000,Limpopo,5021.00000,LIM472 - Elias Motsoaledi [Groblersdal],94702024.00000,76250077.00000
16937,7.00000,Limpopo,5021.00000,LIM472 - Elias Motsoaledi [Groblersdal],94702020.00000,76250088.00000
16938,7.00000,Limpopo,5020.00000,LIM471 - Ephraim Mogale [Marble Hall],94701011.00000,76250099.00000
16939,7.00000,Limpopo,5020.00000,LIM471 - Ephraim Mogale [Marble Hall],94701010.00000,76250101.00000
16940,7.00000,Limpopo,5020.00000,LIM471 - Ephraim Mogale [Marble Hall],94701011.00000,76250112.00000
16941,7.00000,Limpopo,5021.00000,LIM472 - Elias Motsoaledi [Groblersdal],94702023.00000,76250123.00000
16942,7.00000,Limpopo,5021.00000,LIM472 - Elias Motsoaledi [Groblersdal],94702023.00000,76250134.00000
16943,7.00000,Limpopo,5021.00000,LIM472 - Elias Motsoaledi [Groblersdal],94702021.00000,76250145.00000
16944,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703001.00000,76250156.00000
16945,7.00000,Limpopo,5021.00000,LIM472 - Elias Motsoaledi [Groblersdal],94702019.00000,76250167.00000
